corruption,bin_mid,bin_acc,bin_conf,bin_count
elastic_transform,0.0333,0.0385,0.0535,312
elastic_transform,0.1000,0.0618,0.1040,1812
elastic_transform,0.1667,0.0886,0.1679,2619
elastic_transform,0.2333,0.1079,0.2331,2873
elastic_transform,0.3000,0.1263,0.2998,2938
elastic_transform,0.3667,0.1808,0.3666,2987
elastic_transform,0.4333,0.2205,0.4337,3125
elastic_transform,0.5000,0.2612,0.4998,3109
elastic_transform,0.5667,0.2951,0.5659,2918
elastic_transform,0.6333,0.3179,0.6334,2730
elastic_transform,0.7000,0.3681,0.7003,2839
elastic_transform,0.7667,0.4607,0.7672,3015
elastic_transform,0.8333,0.5133,0.8353,3559
elastic_transform,0.9000,0.6598,0.9032,5768
elastic_transform,0.9667,0.7557,0.9666,9396
pixelate,0.0333,0.0309,0.0468,809
pixelate,0.1000,0.0661,0.1017,2313
pixelate,0.1667,0.0927,0.1672,2903
pixelate,0.2333,0.1275,0.2338,2948
pixelate,0.3000,0.1669,0.2998,2983
pixelate,0.3667,0.2061,0.3665,3027
pixelate,0.4333,0.2522,0.4323,2890
pixelate,0.5000,0.2986,0.4993,2967
pixelate,0.5667,0.3260,0.5663,2736
pixelate,0.6333,0.3866,0.6331,2633
pixelate,0.7000,0.4275,0.6993,2711
pixelate,0.7667,0.4830,0.7669,2818
pixelate,0.8333,0.5800,0.8350,3398
pixelate,0.9000,0.6852,0.9025,5060
pixelate,0.9667,0.7748,0.9700,9804
jpeg_compression,0.0333,0.0345,0.0484,377
jpeg_compression,0.1000,0.0653,0.1033,1515
jpeg_compression,0.1667,0.1121,0.1680,2150
jpeg_compression,0.2333,0.1417,0.2338,2287
jpeg_compression,0.3000,0.1820,0.3005,2500
jpeg_compression,0.3667,0.2365,0.3669,2605
jpeg_compression,0.4333,0.2790,0.4341,2699
jpeg_compression,0.5000,0.3429,0.5004,2899
jpeg_compression,0.5667,0.3748,0.5664,2748
jpeg_compression,0.6333,0.4222,0.6327,2653
jpeg_compression,0.7000,0.4726,0.6993,2611
jpeg_compression,0.7667,0.5420,0.7675,2908
jpeg_compression,0.8333,0.6037,0.8350,3538
jpeg_compression,0.9000,0.7462,0.9032,5669
jpeg_compression,0.9667,0.8967,0.9718,12841
