corruption,bin_mid,bin_acc,bin_conf,bin_count
brightness,0.7000,0.7563,0.7020,3898
brightness,0.7667,0.8455,0.7693,5508
brightness,0.8333,0.9233,0.8370,9703
brightness,0.9000,0.9589,0.8905,8999
brightness,0.9667,0.9376,0.9483,433
contrast,0.0333,0.1216,0.0332,35912
contrast,0.1000,0.3038,0.0925,9678
contrast,0.1667,0.5006,0.1607,2455
contrast,0.2333,0.5450,0.2285,923
contrast,0.3000,0.5697,0.2964,402
contrast,0.3667,0.5356,0.3644,239
contrast,0.4333,0.5224,0.4279,134
contrast,0.5000,0.5814,0.5000,86
contrast,0.5667,0.5763,0.5628,59
contrast,0.6333,0.5909,0.6341,44
contrast,0.7000,0.6000,0.6913,20
contrast,0.7667,0.6154,0.7668,26
contrast,0.8333,0.7273,0.8248,11
contrast,0.9000,1.0000,0.8932,11
elastic_transform,0.0333,0.0366,0.0531,819
elastic_transform,0.1000,0.0645,0.1023,3738
elastic_transform,0.1667,0.1003,0.1671,4256
elastic_transform,0.2333,0.1337,0.2332,4234
elastic_transform,0.3000,0.1865,0.2996,3876
elastic_transform,0.3667,0.2160,0.3659,3671
elastic_transform,0.4333,0.2904,0.4328,3437
elastic_transform,0.5000,0.3362,0.4996,3251
elastic_transform,0.5667,0.3930,0.5663,2832
elastic_transform,0.6333,0.4454,0.6335,2883
elastic_transform,0.7000,0.5312,0.7010,2978
elastic_transform,0.7667,0.6518,0.7687,3607
elastic_transform,0.8333,0.7840,0.8365,5232
elastic_transform,0.9000,0.8613,0.8922,4888
elastic_transform,0.9667,0.8423,0.9450,298
pixelate,0.0333,0.0440,0.0466,1658
pixelate,0.1000,0.0856,0.1016,4476
pixelate,0.1667,0.1240,0.1662,4547
pixelate,0.2333,0.1742,0.2333,4358
pixelate,0.3000,0.2304,0.2996,3993
pixelate,0.3667,0.2857,0.3662,3696
pixelate,0.4333,0.3380,0.4328,3358
pixelate,0.5000,0.4120,0.4992,3041
pixelate,0.5667,0.4910,0.5663,2782
pixelate,0.6333,0.5373,0.6342,2801
pixelate,0.7000,0.6159,0.7003,2898
pixelate,0.7667,0.7192,0.7685,3504
pixelate,0.8333,0.8454,0.8360,4987
pixelate,0.9000,0.8933,0.8907,3713
pixelate,0.9667,0.8245,0.9450,188
jpeg_compression,0.0333,0.0532,0.0494,771
jpeg_compression,0.1000,0.0962,0.1022,2795
jpeg_compression,0.1667,0.1428,0.1669,3529
jpeg_compression,0.2333,0.1961,0.2337,3391
jpeg_compression,0.3000,0.2535,0.2992,3341
jpeg_compression,0.3667,0.2958,0.3660,3367
jpeg_compression,0.4333,0.3852,0.4337,3570
jpeg_compression,0.5000,0.4398,0.4992,3074
jpeg_compression,0.5667,0.5054,0.5667,3031
jpeg_compression,0.6333,0.5652,0.6336,2907
jpeg_compression,0.7000,0.6796,0.7009,3265
jpeg_compression,0.7667,0.7491,0.7687,3965
jpeg_compression,0.8333,0.8722,0.8370,6575
jpeg_compression,0.9000,0.9278,0.8909,6160
jpeg_compression,0.9667,0.9112,0.9462,259
