corruption,bin_mid,bin_acc,bin_conf,bin_count
brightness,0.9000,0.8515,0.9040,7056
brightness,0.9667,0.9392,0.9724,18579
contrast,0.0333,0.1017,0.0395,4629
contrast,0.1000,0.2083,0.0956,3130
contrast,0.1667,0.2787,0.1647,1622
contrast,0.2333,0.2923,0.2317,1071
contrast,0.3000,0.2172,0.2991,769
contrast,0.3667,0.2215,0.3671,614
contrast,0.4333,0.2045,0.4353,577
contrast,0.5000,0.1882,0.5001,611
contrast,0.5667,0.1450,0.5664,593
contrast,0.6333,0.0962,0.6341,582
contrast,0.7000,0.0541,0.7008,647
contrast,0.7667,0.0353,0.7675,851
contrast,0.8333,0.0148,0.8352,1217
contrast,0.9000,0.0073,0.9042,2194
contrast,0.9667,0.0005,0.9909,30893
elastic_transform,0.0333,0.0353,0.0534,312
elastic_transform,0.1000,0.0632,0.1040,1819
elastic_transform,0.1667,0.0895,0.1679,2625
elastic_transform,0.2333,0.1063,0.2331,2887
elastic_transform,0.3000,0.1264,0.2998,2936
elastic_transform,0.3667,0.1808,0.3665,2982
elastic_transform,0.4333,0.2183,0.4336,3129
elastic_transform,0.5000,0.2630,0.4997,3099
elastic_transform,0.5667,0.2952,0.5658,2917
elastic_transform,0.6333,0.3193,0.6334,2734
elastic_transform,0.7000,0.3686,0.7003,2843
elastic_transform,0.7667,0.4593,0.7672,3007
elastic_transform,0.8333,0.5157,0.8353,3574
elastic_transform,0.9000,0.6601,0.9032,5763
elastic_transform,0.9667,0.7553,0.9666,9373
pixelate,0.0333,0.0308,0.0467,811
pixelate,0.1000,0.0664,0.1016,2318
pixelate,0.1667,0.0937,0.1671,2914
pixelate,0.2333,0.1276,0.2337,2947
pixelate,0.3000,0.1678,0.2998,2992
pixelate,0.3667,0.2058,0.3663,3022
pixelate,0.4333,0.2517,0.4323,2896
pixelate,0.5000,0.3002,0.4994,2968
pixelate,0.5667,0.3249,0.5664,2727
pixelate,0.6333,0.3871,0.6331,2630
pixelate,0.7000,0.4284,0.6993,2717
pixelate,0.7667,0.4823,0.7669,2818
pixelate,0.8333,0.5817,0.8351,3404
pixelate,0.9000,0.6854,0.9025,5054
pixelate,0.9667,0.7744,0.9700,9782
jpeg_compression,0.0333,0.0343,0.0485,379
jpeg_compression,0.1000,0.0665,0.1033,1518
jpeg_compression,0.1667,0.1117,0.1680,2158
jpeg_compression,0.2333,0.1425,0.2339,2294
jpeg_compression,0.3000,0.1809,0.3006,2499
jpeg_compression,0.3667,0.2356,0.3668,2602
jpeg_compression,0.4333,0.2804,0.4340,2710
jpeg_compression,0.5000,0.3454,0.5004,2892
jpeg_compression,0.5667,0.3741,0.5664,2756
jpeg_compression,0.6333,0.4234,0.6328,2650
jpeg_compression,0.7000,0.4732,0.6994,2610
jpeg_compression,0.7667,0.5412,0.7674,2899
jpeg_compression,0.8333,0.6048,0.8349,3545
jpeg_compression,0.9000,0.7462,0.9032,5677
jpeg_compression,0.9667,0.8968,0.9718,12811
